index	codepoint	complexity	measured_from
0	U+0065	1.0667	NotoSans-Regular.ttf
1	U+0061	1.2000	NotoSans-Regular.ttf
2	U+006E	0.5778	NotoSans-Regular.ttf
3	U+0069	0.5556	NotoSans-Regular.ttf
4	U+006F	0.9333	NotoSans-Regular.ttf
5	U+0072	0.6222	NotoSans-Regular.ttf
6	U+0074	0.7333	NotoSans-Regular.ttf
7	U+0073	1.3556	NotoSans-Regular.ttf
8	U+006C	0.1333	NotoSans-Regular.ttf
9	U+0064	1.1111	NotoSans-Regular.ttf
10	U+0063	0.8667	NotoSans-Regular.ttf
11	U+0075	0.5556	NotoSans-Regular.ttf
12	U+0068	0.6000	NotoSans-Regular.ttf
13	U+006D	0.9333	NotoSans-Regular.ttf
14	U+0070	1.1556	NotoSans-Regular.ttf
15	U+0067	1.3333	NotoSans-Regular.ttf
16	U+0066	0.6667	NotoSans-Regular.ttf
17	U+002E	0.4222	NotoSans-Regular.ttf
18	U+0062	1.0444	NotoSans-Regular.ttf
19	U+002C	0.2889	NotoSans-Regular.ttf
20	U+0076	0.4889	NotoSans-Regular.ttf
21	U+0079	0.7778	NotoSans-Regular.ttf
22	U+006B	0.5556	NotoSans-Regular.ttf
23	U+0031	0.3778	NotoSans-Regular.ttf
24	U+0077	0.9778	NotoSans-Regular.ttf
25	U+0032	0.8444	NotoSans-Regular.ttf
26	U+0030	0.9333	NotoSans-Regular.ttf
27	U+0045	0.3111	NotoSans-Regular.ttf
28	U+0053	1.3556	NotoSans-Regular.ttf
29	U+0039	1.5556	NotoSans-Regular.ttf
30	U+0041	0.5556	NotoSans-Regular.ttf
31	U+043E	0.9333	NotoSans-Regular.ttf
32	U+0430	1.0000	NotoSans-Regular.ttf
33	U+0043	0.8667	NotoSans-Regular.ttf
34	U+0438	0.5778	NotoSans-Regular.ttf
35	U+0435	1.0667	NotoSans-Regular.ttf
36	U+0054	0.2222	NotoSans-Regular.ttf
37	U+043D	0.3111	NotoSans-Regular.ttf
