position	value	codepoint	char
0	0	U+0065	e
1	135849	U+2DA19	𭨙
2	89754	U+2E1E4	𮇤
3	68288	U+2394C	𣥌
4	12897	U+54B6	咶
5	137825	U+2E35C	𮍜
6	1925	U+4E71	乱
7	103745	U+176B6	𗚶
8	97850	U+11F18	𑼘
9	64773	U+22130	𢄰
10	70866	U+24B55	𤭕
11	121970	U+26FE7	𦿧
12	147174	U+31EF3	𱻳
13	460	U+51FA	出
14	33306	U+C850	졐
15	125783	U+2A61E	𪘞
16	73953	U+25EA0	𥺠
17	95718	U+10B85	𐮅
18	68944	U+23D11	𣴑
19	80759	U+28643	𨙃
20	94696	U+105B5	𐖵
21	76839	U+2703A	𧀺
22	63502	U+2193E	𡤾
23	95703	U+10B71	𐭱
24	65866	U+2279A	𢞚
25	87950	U+2C136	𬄶
26	27287	U+AF82	꾂
27	88001	U+2C289	𬊉
28	140770	U+300DA	𰃚
29	48226	U+1FB59	🭙
30	18627	U+559E	喞
31	139070	U+2E95C	𮥜
32	29563	U+B8D0	룐
33	105596	U+17DF1	𗷱
34	73587	U+25C54	𥱔
35	66227	U+22A07	𢨇
36	108984	U+18B35	𘬵
37	135592	U+2D8D5	𭣕
38	17325	U+9D6B	鵫
39	136236	U+2DBEA	𭯪
40	30097	U+BB0B	묋
41	52096	U+39A7	㦧
42	61410	U+20A27	𠨧
43	77518	U+27431	𧐱
44	36007	U+D343	퍃
45	36230	U+D42A	퐪
46	105163	U+17C40	𗱀
47	130097	U+2BCAB	𫲫
48	132610	U+2C8CC	𬣌
49	147983	U+3224B	𲉋
50	113186	U+21125	𡄥
51	4051	U+7D6E	絮
52	78289	U+2786D	𧡭
53	74	U+7DDA	線
54	103444	U+17589	𗖉
55	1916	U+0C09	ఉ
56	4036	U+7C07	簇
57	65174	U+22385	𢎅
58	80711	U+285F1	𨗱
59	138922	U+2E8AA	𮢪
60	4953	U+7D46	絆
61	85188	U+29FAC	𩾬
62	117870	U+24131	𤄱
63	54977	U+463A	䘺
64	54460	U+43EA	䏪
65	138398	U+2E630	𮘰
66	127633	U+2AF0A	𪼊
67	35446	U+D0FA	탺
68	65970	U+2284D	𢡍
69	104749	U+17AA2	𗪢
70	51932	U+38EF	㣯
71	106452	U+18149	𘅉
72	51508	U+3724	㜤
73	143105	U+30B56	𰭖
74	135817	U+2D9F6	𭧶
75	44668	U+3037	〷
76	105391	U+17D24	𗴤
77	49852	U+1F99E	🦞
78	29906	U+BA42	멂
79	94009	U+100DF	𐃟
80	49341	U+1D77A	𝝺
81	24620	U+FDBC	ﶼ
82	21774	U+26C81	𦲁
83	52717	U+3C5C	㱜
84	25187	U+04EC	Ӭ
85	22803	U+028E	ʎ
86	117525	U+23E44	𣹄
87	137014	U+2DF87	𭾇
88	113117	U+21082	𡂂
89	25146	U+04C3	Ӄ
90	96452	U+11147	𑅇
91	36882	U+D6E6	훦
92	42999	U+2470	⑰
93	81489	U+28ADA	𨫚
94	131890	U+2C508	𬔈
95	138470	U+2E698	𮚘
96	50205	U+1F315	🌕
97	125492	U+2A0F2	𪃲
98	104139	U+17840	𗡀
99	61395	U+20A15	𠨕
100	18027	U+3944	㥄
101	22843	U+02B6	ʶ
102	132582	U+2C8A8	𬢨
103	64616	U+22062	𢁢
104	85749	U+2A2D5	𪋕
105	61790	U+20C59	𠱙
106	86530	U+2A69F	𪚟
107	133624	U+2CF93	𬾓
108	140756	U+300CC	𰃌
109	95789	U+10C2F	𐰯
110	110546	U+1E141	𞅁
111	115615	U+22BC3	𢯃
112	20287	U+9A98	骘
113	8943	U+5956	奖
114	3802	U+70F9	烹
115	11011	U+9555	镕
116	26854	U+ADC3	귃
117	93553	U+A6C2	ꛂ
118	111538	U+2002B	𠀫
119	123277	U+28268	𨉨
120	145178	U+316C3	𱛃
121	56902	U+517F	兿
122	121560	U+26AE5	𦫥
123	134251	U+2D2A8	𭊨
124	119828	U+256CB	𥛋
125	13369	U+5DB0	嶰
126	102638	U+17263	𗉣
127	26899	U+ADF1	귱
128	62689	U+21333	𡌳
129	145670	U+318CB	𱣋
130	49424	U+1F606	😆
131	144344	U+3131F	𱌟
132	51443	U+36D0	㛐
133	16067	U+895B	襛
134	5937	U+8F3E	輾
135	113221	U+2116C	𡅬
136	52722	U+3C61	㱡
137	46146	U+1CF7C	𜽼
138	117681	U+23F97	𣾗
139	13504	U+6034	怴
140	134154	U+2D23B	𭈻
141	130005	U+2BC44	𫱄
142	68198	U+238DB	𣣛
143	73191	U+259C6	𥧆
144	107227	U+18450	𘑐
145	53916	U+41A4	䆤
146	131831	U+2C4BD	𬒽
147	95020	U+10709	𐜉
148	35174	U+CFDC	쿜
149	139965	U+2EDE7	𮷧
150	57616	U+64C6	擆
151	14479	U+70B5	炵
152	57833	U+6AED	櫭
153	6828	U+9B28	鬨
154	82306	U+2901A	𩀚
155	82871	U+2930F	𩌏
156	139450	U+2EB44	𮭄
157	122436	U+2763C	𧘼
158	21154	U+23231	𣈱
159	57630	U+6527	攧
160	126210	U+2A8C4	𪣄
161	40649	U+A396	ꎖ
162	57217	U+599C	妜
163	128439	U+2B2F1	𫋱
164	107247	U+18464	𘑤
165	11565	U+6BAA	殪
166	43010	U+247B	⑻
167	118651	U+2495E	𤥞
168	113012	U+20F9D	𠾝
169	98991	U+124B4	𒒴
170	4919	U+7B8B	箋
171	27159	U+AF02	꼂
172	68361	U+239AF	𣦯
173	140299	U+2F910	𣽞
174	51437	U+36CA	㛊
175	148177	U+32314	𲌔
176	110307	U+1D967	𝥧
177	22670	U+01FF	ǿ
178	29039	U+B6A6	뚦
179	100082	U+13350	𓍐
180	45990	U+1CE44	𜹄
181	89021	U+2D06D	𭁭
182	126210	U+2A8C4	𪣄
183	15212	U+7D3E	紾
184	19872	U+8EB9	躹
185	110620	U+1E2E1	𞋡
186	106686	U+18233	𘈳
187	19509	U+7E6C	繬
188	46831	U+1D7D8	𝟘
189	66297	U+22A62	𢩢
190	137680	U+2E2A6	𮊦
191	123572	U+28656	𨙖
192	31172	U+BF6B	뽫
193	6634	U+8373	荳
194	22716	U+0230	Ȱ
195	137118	U+2E002	𮀂
196	103326	U+17513	𗔓
197	64620	U+22066	𢁦
198	142229	U+30743	𰝃
199	96401	U+11103	𑄃
200	142322	U+307AC	𰞬
201	52412	U+3B06	㬆
202	112294	U+20775	𠝵
203	13463	U+5F74	彴
204	86536	U+2A6A8	𪚨
205	15885	U+875E	蝞
206	5230	U+8ECB	軋
207	2893	U+D4E8	퓨
208	84921	U+29DE7	𩷧
209	127006	U+2AC39	𪰹
210	119337	U+251B4	𥆴
211	88012	U+2C2C3	𬋃
212	129018	U+2B67F	𫙿
213	23039	U+1E0E	Ḏ
214	28633	U+B508	딈
215	101888	U+16E6B	𖹫
216	116373	U+232D1	𣋑
217	43692	U+279F	➟
