position	value	codepoint	char
0	2	U+006E	n
1	106530	U+18197	𘆗
2	79024	U+27C31	𧰱
3	113081	U+2102D	𡀭
4	97377	U+11950	𑥐
5	11286	U+9ABE	骾
6	147451	U+3201B	𲀛
7	106485	U+1816A	𘅪
8	105470	U+17D73	𗵳
9	54199	U+42D4	䋔
10	46002	U+1CE50	𜹐
11	62976	U+2156C	𡕬
12	16590	U+91EC	釬
13	99444	U+130D2	𓃒
14	18848	U+5F2A	弪
15	58978	U+8CB1	貱
16	106697	U+1823E	𘈾
17	83851	U+29806	𩠆
18	26757	U+AD5D	굝
19	66009	U+2289A	𢢚
20	44000	U+29D8	⧘
21	115437	U+22A5B	𢩛
22	102253	U+170E2	𗃢
23	58953	U+8B9D	讝
24	8490	U+20779	𠝹
25	43137	U+24FB	⓻
26	31345	U+C018	쀘
27	60855	U+206F5	𠛵
28	109466	U+1B1A7	𛆧
29	143815	U+30F1F	𰼟
30	114274	U+21C6B	𡱫
31	81013	U+287A3	𨞣
32	115226	U+22813	𢠓
33	102675	U+17288	𗊈
34	138075	U+2E496	𮒖
35	5872	U+86C6	蛆
36	32375	U+C44F	쑏
37	124260	U+28E3E	𨸾
38	25400	U+1E064	𞁤
39	131581	U+2C385	𬎅
40	111518	U+16FE2	𖿢
41	137829	U+2E361	𮍡
42	130041	U+2BC6E	𫱮
43	124953	U+299E7	𩧧
44	115494	U+22AD7	𢫗
45	133607	U+2CF81	𬾁
46	41618	U+1501	ᔁ
47	99468	U+130EA	𓃪
48	102130	U+17067	𗁧
49	138748	U+2E7D9	𮟙
50	110642	U+1E4D0	𞓐
51	35647	U+D1CA	퇊
52	67793	U+235CA	𣗊
53	27417	U+B004	뀄
54	92163	U+28E9	⣩
55	47977	U+1F884	🢄
56	45383	U+101F7	𐇷
57	100100	U+13362	𓍢
58	35092	U+CF8A	쾊
59	133835	U+2D0A1	𭂡
60	131293	U+2C237	𬈷
61	25748	U+1B150	𛅐
62	644	U+056F	կ
63	118897	U+24BF6	𤯶
64	6900	U+53C1	叁
65	89267	U+2D5FC	𭗼
66	21578	U+25446	𥑆
67	147720	U+32135	𲄵
68	109134	U+18BCB	𘯋
69	64655	U+22090	𢂐
70	47897	U+1F826	🠦
71	26374	U+321A	㈚
72	127791	U+2AFC6	𪿆
73	88930	U+2CEFB	𬻻
74	120996	U+26370	𦍰
75	101996	U+16F3C	𖼼
76	43840	U+2938	⤸
77	107375	U+184E4	𘓤
78	12192	U+7719	眙
79	43357	U+25DB	◛
80	92663	U+16C7	ᛇ
81	52890	U+3D17	㴗
82	83326	U+29558	𩕘
83	64956	U+22236	𢈶
84	122731	U+27AC9	𧫉
85	104255	U+178B4	𗢴
86	23155	U+1E82	Ẃ
87	81993	U+28E5D	𨹝
88	67940	U+23705	𣜅
89	122979	U+27EC4	𧻄
90	69718	U+243AE	𤎮
91	9893	U+7AC8	竈
92	116351	U+232A2	𣊢
93	32217	U+C3B1	쎱
94	145431	U+317D3	𱟓
95	49399	U+1D7B6	𝞶
96	110171	U+1D8DF	𝣟
97	69769	U+24425	𤐥
98	41712	U+155F	ᕟ
99	118307	U+24499	𤒙
100	3966	U+78D0	磐
101	106204	U+18051	𘁑
102	143629	U+30E23	𰸣
103	23841	U+06A5	ڥ
104	46074	U+1CE98	𜺘
105	119681	U+255AF	𥖯
106	74823	U+263F7	𦏷
107	21218	U+23716	𣜖
108	46969	U+1ED1F	𞴟
109	109004	U+18B49	𘭉
110	124194	U+28D8C	𨶌
111	68148	U+23899	𣢙
112	118319	U+244AF	𤒯
113	21137	U+230DA	𣃚
114	71081	U+24C98	𤲘
