position	value	codepoint	char
0	0	U+0030	0
1	85608	U+7133	焳
2	87046	U+2C012	𬀒
3	24686	U+131E2	𓇢
4	53792	U+1F5E8	🗨
5	29181	U+133E	ጾ
6	141308	U+880D	蠍
7	830	U+1D1EA	𝇪
8	47431	U+21E31	𡸱
9	142456	U+6161	慡
10	18967	U+10723	𐜣
11	128449	U+2A55B	𪕛
12	117291	U+208B7	𠢷
13	2161	U+FFB2	ﾲ
14	73976	U+1018B	𐆋
15	86901	U+2BA49	𫩉
16	96110	U+3FEF	㿯
17	113706	U+22D69	𢵩
18	146497	U+1653	ᙓ
19	30973	U+30955	𰥕
20	49867	U+25685	𥚅
21	135855	U+2EBD5	𮯕
22	49694	U+1D13F	𝄿
23	94439	U+282E5	𨋥
24	105275	U+2B0ED	𫃭
25	144641	U+6583	斃
26	127902	U+21F7A	𡽺
27	74268	U+22584	𢖄
28	69328	U+2AC9E	𪲞
29	117751	U+28CB3	𨲳
30	42347	U+01A6	Ʀ
31	7179	U+144C4	𔓄
32	39472	U+31017	𱀗
33	111399	U+2CC4C	𬱌
34	32757	U+CA4E	쩎
35	41970	U+226CF	𢛏
36	144064	U+6ABE	檾
37	61361	U+29235	𩈵
38	92154	U+24347	𤍇
39	144859	U+943B	鐻
40	42208	U+2DFFE	𭿾
41	29634	U+1897E	𘥾
42	63107	U+29475	𩑵
43	40532	U+212A2	𡊢
44	137757	U+85D7	藗
45	27306	U+189EB	𘧫
46	89513	U+1D140	𝅀
47	126781	U+29E8D	𩺍
48	65003	U+104D3	𐓓
49	54877	U+26558	𦕘
50	37161	U+184C	ᡌ
51	18119	U+21553	𡕓
52	133958	U+985C	顜
53	9243	U+11DA1	𑶡
54	132484	U+5ACC	嫌
55	132850	U+171BF	𗆿
56	81687	U+9816	頖
57	131249	U+2E905	𮤅
58	56149	U+D07B	큻
59	138593	U+17727	𗜧
60	44852	U+202BD	𠊽
61	39977	U+1F52E	🔮
62	117184	U+902E	逮
63	43950	U+2B94C	𫥌
64	113925	U+4169	䅩
65	84564	U+226CB	𢛋
66	100282	U+01A1	ơ
67	22484	U+21CC2	𡳂
68	10870	U+21240	𡉀
69	17222	U+318CD	𱣍
70	19270	U+201C0	𠇀
71	74527	U+2981A	𩠚
72	65683	U+2073B	𠜻
73	98952	U+C35B	썛
74	137358	U+2A5B4	𪖴
75	36961	U+1F6B1	🚱
76	85742	U+2B300	𫌀
77	25067	U+2C274	𬉴
78	99387	U+23EC0	𣻀
79	141602	U+2712C	𧄬
80	95256	U+2A29D	𪊝
81	53929	U+2CBCA	𬯊
82	72938	U+2827E	𨉾
83	63052	U+20332	𠌲
84	141047	U+424D	䉍
85	54594	U+D017	퀗
86	106971	U+29294	𩊔
87	146170	U+1F983	🦃
88	18630	U+53F9	叹
89	58253	U+253E8	𥏨
90	130949	U+28629	𨘩
91	144996	U+4CEE	䳮
92	14010	U+1E8CC	𞣌
93	105065	U+3052B	𰔫
94	76917	U+10D02	𐴂
95	117433	U+248D8	𤣘
96	57063	U+26C66	𦱦
97	146945	U+9A63	驣
98	47028	U+2ECA4	𮲤
99	39851	U+1BDE	ᯞ
100	104406	U+2E1AC	𮆬
101	47294	U+BFD7	뿗
102	110812	U+4A76	䩶
103	100844	U+2CDCF	𬷏
104	62384	U+28270	𨉰
105	33747	U+B15B	녛
106	99059	U+2DD7D	𭵽
107	95016	U+711C	焜
108	25571	U+C2E7	싧
109	139117	U+17DCE	𗷎
110	8576	U+11010	𑀐
111	78026	U+1AA4	᪤
112	127078	U+2A02F	𪀯
113	80129	U+273E6	𧏦
114	27116	U+30B6C	𰭬
115	43166	U+6C17	気
116	39977	U+1F52E	🔮
117	102803	U+1817	᠗
118	71808	U+2C6C3	𬛃
119	71353	U+30204	𰈄
120	82970	U+6CE2	波
121	79967	U+2136D	𡍭
122	22960	U+13392	𓎒
123	5352	U+BB38	문
124	12532	U+1E4E7	𞓧
125	56710	U+22408	𢐈
126	73345	U+2D0BD	𭂽
127	14879	U+B6A4	뚤
128	102983	U+20E7F	𠹿
129	6034	U+02BB	ʻ
130	58386	U+2B2D3	𫋓
131	46486	U+24D42	𤵂
132	12104	U+114F	ᅏ
133	24855	U+2CEDF	𬻟
134	82794	U+3099D	𰦝
135	117624	U+31E25	𱸥
136	29045	U+BD51	뵑
137	99452	U+278E6	𧣦
138	91927	U+25C52	𥱒
139	43947	U+2B764	𫝤
140	17447	U+2CF82	𬾂
141	41284	U+28539	𨔹
142	24396	U+B139	넹
143	12288	U+BDDB	뷛
144	97088	U+1F356	🍖
145	109435	U+21170	𡅰
146	49133	U+26F11	𦼑
147	55608	U+2421F	𤈟
148	2819	U+1F547	🕇
149	1567	U+1FB35	🬵
150	98183	U+29D84	𩶄
151	108780	U+331D	㌝
152	106173	U+2A487	𪒇
153	56043	U+8A1E	訞
154	121549	U+2E83F	𮠿
155	145193	U+1F3BB	🎻
156	18183	U+2DA89	𭪉
157	128979	U+A036	ꀶ
158	109575	U+2A0F1	𪃱
159	28509	U+20A85	𠪅
160	32928	U+2AA31	𪨱
161	36376	U+D467	푧
162	78142	U+2C815	𬠕
163	102149	U+5269	剩
164	29622	U+11614	𑘔
165	24966	U+23560	𣕠
166	54995	U+2D550	𭕐
167	72391	U+6784	构
168	100115	U+18354	𘍔
169	107482	U+3097F	𰥿
170	34273	U+25BAD	𥮭
171	65579	U+2B5A5	𫖥
172	125672	U+8954	襔
173	46055	U+B6CF	뛏
174	7217	U+A6C7	ꛇ
175	40543	U+225AE	𢖮
176	6222	U+20BA5	𠮥
177	42583	U+2D72A	𭜪
178	48945	U+AA22	ꨢ
179	133067	U+7BFF	篿
180	142809	U+7E68	繨
181	12720	U+201CD	𠇍
182	62736	U+21BEB	𡯫
183	75498	U+31E06	𱸆
184	6804	U+221AF	𢆯
185	88945	U+20960	𠥠
186	86029	U+2A597	𪖗
187	81561	U+7494	璔
188	34561	U+177F1	𗟱
189	15681	U+2050C	𠔌
190	116934	U+2E763	𮝣
191	88015	U+26F2A	𦼪
192	60526	U+2ADA5	𪶥
193	22534	U+251C1	𥇁
194	83635	U+2AD48	𪵈
195	62396	U+2AA13	𪨓
196	18178	U+2CF7C	𬽼
197	25162	U+24C12	𤰒
198	109	U+11A42	𑩂
199	81912	U+2DD4A	𭵊
200	58409	U+2C70A	𬜊
201	106051	U+24122	𤄢
202	119565	U+4A54	䩔
203	129705	U+1788	ឈ
204	121331	U+2750A	𧔊
205	98913	U+8934	褴
206	116437	U+10385	𐎅
207	8492	U+2B41E	𫐞
208	111357	U+2376B	𣝫
209	1480	U+11BC3	𑯃
210	108800	U+3C61	㱡
211	27628	U+519E	冞
212	10480	U+592B	夫
213	71388	U+ABC6	ꯆ
214	86426	U+2018A	𠆊
215	95939	U+23AA5	𣪥
216	44270	U+2AB60	𪭠
217	77487	U+294BE	𩒾
218	18246	U+1FBF4	🯴
219	147379	U+1EE52	𞹒
220	49392	U+1A88	᪈
221	23289	U+2AA23	𪨣
222	76273	U+0836	࠶
223	35178	U+D129	턩
224	137933	U+31A99	𱪙
225	59528	U+28FA3	𨾣
226	100401	U+22135	𢄵
227	120142	U+25D60	𥵠
228	37783	U+AF6C	꽬
229	10964	U+31B1	ㆱ
230	68765	U+172A0	𗊠
231	45992	U+8A4D	詍
232	141336	U+9D64	鵤
233	52212	U+1455D	𔕝
234	128869	U+7CD8	糘
235	77488	U+295B3	𩖳
236	64996	U+2C317	𬌗
237	94887	U+3DC2	㷂
238	123314	U+2A542	𪕂
239	113357	U+2DF30	𭼰
240	146913	U+1F9E0	🧠
241	41784	U+20DA9	𠶩
242	2379	U+02F9	˹
243	107042	U+22178	𢅸
244	79203	U+1004D	𐁍
245	40411	U+C558	았
246	113159	U+8103	脃
247	41501	U+6869	桩
248	50422	U+C496	쒖
249	16327	U+C36C	썬
250	36611	U+25991	𥦑
251	35591	U+26747	𦝇
252	60007	U+30DFA	𰷺
253	139365	U+2937A	𩍺
254	141379	U+2A65E	𪙞
255	138800	U+29986	𩦆
256	109362	U+23F4F	𣽏
257	87904	U+21BEE	𡯮
258	109515	U+27B8B	𧮋
259	49021	U+230DD	𣃝
260	124285	U+6509	攉
261	90283	U+22A07	𢨇
262	129399	U+9127	鄧
263	56212	U+23D6D	𣵭
264	82417	U+28853	𨡓
265	42526	U+24993	𤦓
266	36572	U+23E3D	𣸽
267	10504	U+B21B	눛
268	83960	U+10488	𐒈
269	51690	U+8353	荓
270	125649	U+7DD1	緑
271	99160	U+184D2	𘓒
272	13268	U+2CB6	Ⲷ
273	54029	U+300BE	𰂾
274	34455	U+2AA33	𪨳
275	70520	U+2E098	𮂘
276	1702	U+1D93B	𝤻
277	26003	U+24935	𤤵
278	96523	U+16A43	𖩃
279	58788	U+73C3	珃
280	56525	U+30138	𰄸
281	57038	U+213A2	𡎢
282	119371	U+2080C	𠠌
