position	value	codepoint	char
0	0	U+0065	e
1	102802	U+17307	𗌇
2	109423	U+1B17C	𛅼
3	134325	U+2D2F6	𭋶
4	136375	U+2DC99	𭲙
5	136705	U+2DE11	𭸑
6	138065	U+2E48A	𮒊
7	75256	U+26696	𦚖
8	97025	U+115D3	𑗓
9	40570	U+A347	ꍇ
10	137649	U+2E27A	𮉺
11	109363	U+18CB0	𘲰
12	40438	U+A2C3	ꋃ
13	100333	U+14415	𔐕
14	139463	U+2EB52	𮭒
15	103475	U+175A8	𗖨
16	79819	U+280B0	𨂰
17	35197	U+CFF4	쿴
18	82062	U+28ED1	𨻑
19	20135	U+9575	镵
20	14023	U+69B5	榵
21	81347	U+28988	𨦈
22	36628	U+D5D3	헓
23	109578	U+1B217	𛈗
24	57435	U+5F8F	徏
25	87811	U+2BDFE	𫷾
26	15529	U+8319	茙
27	103551	U+175F4	𗗴
28	54655	U+44BF	䒿
29	19783	U+8B4D	譍
30	4592	U+6190	憐
31	26937	U+AE1B	긛
32	65130	U+2234F	𢍏
33	83957	U+2989A	𩢚
34	15184	U+7CBA	粺
35	111755	U+201FB	𠇻
36	37412	U+1F9F	ᾟ
37	7451	U+92B6	銶
38	92198	U+A4DC	ꓜ
39	41178	U+A5E3	ꗣ
40	62478	U+211EA	𡇪
41	47200	U+1F0DE	🃞
42	16230	U+8C43	豃
43	75053	U+26547	𦕇
44	33437	U+C8D7	죗
45	62601	U+2129D	𡊝
46	114765	U+22278	𢉸
47	128883	U+2B582	𫖂
48	91804	U+3236D	𲍭
49	78976	U+27BED	𧯭
50	5273	U+91DD	針
51	20395	U+9CD1	鳑
52	133004	U+2CB0F	𬬏
53	34161	U+CBBB	쮻
54	5052	U+8398	莘
55	31818	U+C20C	숌
56	123641	U+2877F	𨝿
57	104604	U+17A11	𗨑
58	140890	U+30159	𰅙
59	50776	U+1F7E1	🟡
60	51636	U+37B1	㞱
61	939	U+30B1	ケ
62	58693	U+8441	葁
63	33197	U+C7D8	쟘
64	42359	U+21B2	↲
65	99579	U+13159	𓅙
66	96156	U+10F77	𐽷
67	56542	U+4CD3	䳓
68	115525	U+22B16	𢬖
69	37419	U+1FA6	ᾦ
70	94764	U+10609	𐘉
71	139756	U+2ECEB	𮳫
72	107887	U+186E4	𘛤
73	80871	U+286E3	𨛣
74	33151	U+C7A8	잨
75	143429	U+30CE5	𰳥
76	12128	U+72FB	狻
77	145556	U+31856	𱡖
78	94951	U+106C4	𐛄
79	132161	U+2C66F	𬙯
80	57513	U+6188	憈
81	57096	U+56BB	嚻
82	122217	U+272F5	𧋵
