position	value	codepoint	char
0	1	U+0061	a
1	91662	U+317EB	𱟫
2	70444	U+247FF	𤟿
3	109639	U+1B254	𛉔
4	4211	U+8650	虐
5	81793	U+28D33	𨴳
6	30423	U+BC63	뱣
7	146539	U+31C56	𱱖
8	105057	U+17BD6	𗯖
9	22540	U+0178	Ÿ
10	31249	U+BFB8	뾸
11	10379	U+88CE	裎
12	13589	U+61B3	憳
13	88672	U+2CCC0	𬳀
14	120112	U+259AE	𥦮
15	26859	U+ADC8	귈
16	45726	U+1CD3C	𜴼
17	66655	U+22D83	𢶃
18	19006	U+68BF	梿
19	33145	U+C79F	잟
20	58025	U+7111	焑
21	85878	U+2A376	𪍶
22	120098	U+2596E	𥥮
23	21858	U+271CD	𧇍
24	65703	U+22675	𢙵
25	92654	U+16BE	ᚾ
26	92959	U+1A10	ᨐ
27	59178	U+93C1	鏁
28	31368	U+C02F	쀯
29	6542	U+77C7	矇
30	32459	U+C4A3	쒣
31	60955	U+20795	𠞕
32	57462	U+6030	怰
33	65785	U+226EF	𢛯
34	68711	U+23B92	𣮒
35	44428	U+2B8D	⮍
36	74673	U+26331	𦌱
37	124766	U+2971B	𩜛
38	11429	U+9E51	鹑
39	8651	U+519C	农
40	20965	U+21922	𡤢
41	134550	U+2D3F0	𭏰
42	134133	U+2D223	𭈣
43	114423	U+21E05	𡸅
44	36223	U+D423	퐣
45	62315	U+210C3	𡃃
46	65003	U+22276	𢉶
47	116206	U+23168	𣅨
48	140825	U+30116	𰄖
49	112638	U+20C31	𠰱
50	3470	U+6292	抒
51	38211	U+1023	ဣ
52	39683	U+3120	ㄠ
53	82807	U+292C7	𩋇
54	23773	U+063D	ؽ
55	71909	U+2515A	𥅚
56	86142	U+2A4BC	𪒼
57	20213	U+9899	颙
58	39748	U+A011	ꀑ
59	887	U+300B	》
60	64258	U+21E24	𡸤
61	47969	U+1F87C	🡼
62	7219	U+7664	癤
63	22839	U+02B2	ʲ
64	52492	U+3B62	㭢
65	56359	U+4C05	䰅
66	46726	U+1D31B	𝌛
67	25751	U+1F200	🈀
