position	value	codepoint	char
0	3	U+0069	i
1	21000	U+21DF9	𡷹
2	4632	U+64A5	撥
3	13540	U+60E2	惢
4	96443	U+1113C	𑄼
5	68432	U+23A02	𣨂
6	134190	U+2D266	𭉦
7	116422	U+2332F	𣌯
8	50859	U+342E	㐮
9	102329	U+1712E	𗄮
10	57763	U+68BB	梻
11	7903	U+68EA	棪
12	29536	U+B8B4	뢴
13	79962	U+281A7	𨆧
14	7078	U+6644	晄
15	28172	U+B322	댢
16	87647	U+2B99F	𫦟
17	112951	U+20F19	𠼙
18	45479	U+1CC3F	𜰿
19	88166	U+2C63B	𬘻
20	27408	U+AFFB	꿻
21	131843	U+2C4CC	𬓌
22	84085	U+2994C	𩥌
23	21425	U+24933	𤤳
24	6398	U+6B9E	殞
25	34048	U+CB4A	쭊
26	43586	U+2725	✥
27	5662	U+6B50	歐
28	2085	U+0459	љ
29	91883	U+1C51	᱑
30	11753	U+5AD5	嫕
31	140287	U+2F903	浩
32	103742	U+176B3	𗚳
33	95144	U+10833	𐠳
34	17302	U+9D31	鴱
35	49042	U+1D646	𝙆
36	113685	U+21633	𡘳
37	51705	U+37FD	㟽
38	41843	U+15E2	ᗢ
39	114684	U+2216C	𢅬
40	108460	U+18929	𘤩
41	101754	U+16B6A	𖭪
42	121126	U+2655E	𦕞
43	33698	U+C9EB	짫
44	76996	U+27149	𧅉
45	119805	U+256A3	𥚣
46	42193	U+2040	⁀
47	3764	U+6EA5	溥
48	62380	U+21157	𡅗
49	71419	U+24E83	𤺃
50	32754	U+C5E5	엥
51	49128	U+1D69C	𝚜
52	131869	U+2C4E9	𬓩
53	76223	U+26C4D	𦱍
54	49377	U+1D79F	𝞟
55	119863	U+2571C	𥜜
56	56663	U+4D5B	䵛
57	25659	U+1B0C8	𛃈
58	30063	U+BAE9	뫩
59	15950	U+87FF	蟿
60	132059	U+2C5CE	𬗎
61	56015	U+4A92	䪒
62	2054	U+C988	즈
63	122999	U+27EE8	𧻨
64	43775	U+27F5	⟵
65	73644	U+25CAF	𥲯
66	405	U+0E28	ศ
67	118894	U+24BF0	𤯰
68	13566	U+6156	慖
69	62289	U+21093	𡂓
70	85661	U+2A258	𪉘
71	127820	U+2AFE6	𪿦
72	36754	U+D661	홡
73	136086	U+2DB35	𭬵
74	85062	U+29EE2	𩻢
75	98989	U+124B2	𒒲
76	84415	U+29B18	𩬘
77	124562	U+29317	𩌗
78	114161	U+21B40	𡭀
79	61915	U+20D4A	𠵊
80	116066	U+22FC3	𢿃
81	95965	U+10D36	𐴶
82	103990	U+177AB	𗞫
83	36763	U+D66A	홪
84	116935	U+2376B	𣝫
85	132215	U+2C6A8	𬚨
86	3907	U+75C5	病
87	74320	U+26113	𦄓
88	146946	U+31E04	𱸄
89	15267	U+7DFA	緺
90	14495	U+70FF	烿
91	61747	U+20C06	𠰆
92	13665	U+6336	挶
93	133506	U+2CEEE	𬻮
94	16797	U+9450	鑐
95	41281	U+2D4E	ⵎ
96	24469	U+FD21	ﴡ
97	41165	U+A5D6	ꗖ
98	117843	U+240E5	𤃥
99	141640	U+304A6	𰒦
100	121492	U+269BB	𦦻
101	30977	U+BEA8	뺨
102	95692	U+10B66	𐭦
103	141584	U+30463	𰑣
104	147480	U+3203A	𲀺
105	48742	U+1D511	𝔑
106	95228	U+108E5	𐣥
107	88187	U+2C6CC	𬛌
108	76735	U+26F9E	𦾞
109	37338	U+1F4D	Ὅ
110	56222	U+4B6D	䭭
111	139469	U+2EB59	𮭙
112	6581	U+7C23	簣
113	93367	U+2C40	ⱀ
114	118796	U+24AAF	𤪯
115	107348	U+184C9	𘓉
116	100258	U+13400	𓐀
117	50410	U+1F4F1	📱
118	63634	U+21A25	𡨥
119	54889	U+45D8	䗘
120	126948	U+2ABFB	𪯻
121	89956	U+2E5A0	𮖠
122	145158	U+316AD	𱚭
123	16421	U+8EF7	軷
124	57676	U+662C	昬
125	74823	U+263F7	𦏷
