position	value	codepoint	char
0	1	U+0031	1
1	61433	U+3132A	𱌪
2	37979	U+D5BC	햼
3	64591	U+2F9A1	菊
4	86811	U+27E6F	𧹯
5	113346	U+2B801	𫠁
6	102234	U+729D	犝
7	137202	U+28BE8	𨯨
8	102920	U+181BB	𘆻
9	144476	U+6517	攗
10	66926	U+29A4A	𩩊
11	20532	U+C7C6	쟆
12	41568	U+AE5A	깚
13	102087	U+3A1D	㨝
14	93902	U+235CB	𣗋
15	38757	U+17609	𗘉
16	19723	U+D367	퍧
17	38431	U+203CE	𠏎
18	132269	U+100B2	𐂲
19	61431	U+3114C	𱅌
20	7667	U+11C41	𑱁
21	52262	U+220EA	𢃪
22	77217	U+257A9	𥞩
23	41196	U+1D687	𝚇
24	101411	U+265D6	𦗖
25	88155	U+2CBF6	𬯶
26	72201	U+2EC48	𮱈
27	115032	U+63E2	揢
28	94497	U+2A521	𪔡
29	26083	U+2D1E4	𭇤
30	114118	U+9E4A	鹊
31	65772	U+2C490	𬒐
32	116478	U+A7D5	ꟕ
33	131161	U+8F49	轉
34	89895	U+6E82	溂
35	24565	U+D3AB	펫
36	3662	U+3125	ㄥ
37	89844	U+60AF	悯
38	114676	U+2AC54	𪱔
39	8170	U+4E15	丕
40	77329	U+30208	𰈈
41	93483	U+27B25	𧬥
42	122572	U+31550	𱕐
43	25412	U+76F2	盲
44	139184	U+2A23B	𪈻
45	59987	U+1B227	𛈧
46	86757	U+25EFC	𥻼
47	112783	U+2AE84	𪺄
48	82368	U+26FE4	𦿤
49	14988	U+D46D	푭
50	57468	U+AC5A	걚
51	113255	U+22B3F	𢬿
52	45811	U+3B48	㭈
53	4762	U+132A7	𓊧
54	76130	U+23DDA	𣷚
55	47215	U+8367	荧
56	35966	U+24771	𤝱
57	20649	U+16A78	𖩸
58	60534	U+2BAB1	𫪱
59	110792	U+4657	䙗
60	46094	U+C1CD	쇍
61	70582	U+2630E	𦌎
62	31674	U+31797	𱞗
63	95175	U+213ED	𡏭
64	118464	U+FBF9	ﯹ
65	117558	U+2EBC9	𮯉
66	74276	U+22A01	𢨁
67	70713	U+1E10E	𞄎
68	15199	U+154B	ᕋ
69	7013	U+1D7C0	𝟀
70	137994	U+268D3	𦣓
71	70714	U+10876	𐡶
72	76379	U+23F90	𣾐
73	37159	U+15C8	ᗈ
74	17886	U+B8AC	뢬
75	138958	U+9080	邀
76	810	U+1CE11	𜸑
77	53230	U+CAE0	쫠
78	126913	U+468E	䚎
79	45124	U+1574	ᕴ
80	92574	U+7151	煑
81	120812	U+2617F	𦅿
82	59602	U+2D56D	𭕭
83	85940	U+2747B	𧑻
84	47430	U+21E19	𡸙
85	21990	U+321EF	𲇯
86	4814	U+A973	ꥳ
87	16449	U+FA71	况
88	4122	U+1E048	𞁈
89	64182	U+242DE	𤋞
90	12862	U+C2D8	싘
91	112862	U+246C9	𤛉
92	138407	U+89B7	覷
93	117475	U+27E4C	𧹌
94	85333	U+141A	ᐚ
95	69677	U+8E1F	踟
96	108752	U+11827	𑠧
97	49795	U+22BD3	𢯓
98	64258	U+26D8F	𦶏
99	107972	U+69E2	槢
100	68487	U+2BC1C	𫰜
101	27208	U+25AE6	𥫦
102	133153	U+24717	𤜗
103	23289	U+2AA23	𪨣
104	125412	U+17FBF	𗾿
105	132065	U+7C13	簓
106	105219	U+28B6A	𨭪
107	110064	U+1D4D	ᵍ
108	90945	U+304E	ぎ
109	140511	U+28BEF	𨯯
110	128375	U+216A2	𡚢
111	107301	U+288D8	𨣘
112	60179	U+653A	攺
113	13349	U+4EA2	亢
114	25681	U+D568	함
115	23950	U+130D	ግ
116	1056	U+1D92D	𝤭
117	55267	U+307AD	𰞭
118	146893	U+4324	䌤
119	47931	U+1310	ጐ
120	71927	U+2364E	𣙎
121	1170	U+1CC19	𜰙
122	25969	U+22388	𢎈
123	110722	U+31563	𱕣
124	137983	U+1F439	🐹
125	9840	U+1688E	𖢎
126	106757	U+644C	摌
127	76205	U+2EC49	𮱉
128	59030	U+1787F	𗡿
129	31800	U+16D5	ᛕ
130	77509	U+2B7A7	𫞧
131	137983	U+1F439	🐹
132	100970	U+1EE03	𞸃
133	14949	U+C5D4	엔
134	124467	U+25ACE	𥫎
135	34451	U+2A715	𪜕
136	94344	U+242BA	𤊺
137	88548	U+6331	挱
138	58688	U+3B9C	㮜
139	61836	U+2E887	𮢇
140	36765	U+20E58	𠹘
141	135641	U+589C	墜
142	63608	U+22EEF	𢻯
143	7121	U+FE54	﹔
144	87186	U+4FE6	俦
145	64892	U+B5F9	뗹
146	138330	U+364D	㙍
147	2294	U+145BC	𔖼
148	16087	U+2EAE	⺮
149	32962	U+31644	𱙄
150	132748	U+2965E	𩙞
151	135177	U+6158	慘
152	31051	U+5BBE	宾
153	7116	U+D2C0	틀
154	119775	U+3108E	𱂎
155	140219	U+7000	瀀
156	106181	U+2AC6E	𪱮
157	48359	U+25A88	𥪈
158	114516	U+1D746	𝝆
159	13942	U+25110	𥄐
160	48788	U+B4FE	듾
161	24554	U+D27D	퉽
162	83308	U+1A3F	ᨿ
163	91751	U+228D	⊍
164	16712	U+21C3B	𡰻
165	52753	U+171CC	𗇌
166	144645	U+7218	爘
167	131077	U+6ACB	櫋
168	141648	U+3CB2	㲲
169	134991	U+A3F1	ꏱ
170	13880	U+2516D	𥅭
171	58685	U+3B65	㭥
172	87955	U+243DD	𤏝
173	43731	U+21D8B	𡶋
174	7710	U+AF2C	꼬
175	125679	U+910F	鄏
176	146283	U+4BA3	䮣
177	40241	U+7405	琅
178	25348	U+556F	啯
179	61364	U+296C9	𩛉
180	24774	U+1E7E4	𞟤
181	8949	U+10C97	𐲗
182	63552	U+C8B3	좳
183	138009	U+2A205	𪈅
184	43192	U+804F	聏
