position	value	codepoint	char
0	6	U+0074	t
1	42000	U+167F	ᙿ
2	9264	U+6401	搁
3	27081	U+AEB3	꺳
4	44573	U+2E1F	⸟
5	136865	U+2DED1	𭻑
6	120068	U+25909	𥤉
7	84531	U+29BC6	𩯆
8	101719	U+16B3B	𖬻
9	56345	U+4BF6	䯶
10	115526	U+22B17	𢬗
11	15806	U+868E	蚎
12	59073	U+9030	逰
13	11611	U+9172	酲
14	14156	U+6B76	歶
15	56345	U+4BF6	䯶
16	26982	U+AE4F	깏
17	77589	U+2749A	𧒚
18	90959	U+30DAC	𰶬
19	28019	U+B27A	뉺
20	54817	U+458D	䖍
21	115374	U+22977	𢥷
22	19857	U+8E01	踁
23	42850	U+23A1	⎡
24	12796	U+5198	冘
25	68096	U+2384A	𣡊
26	87172	U+2B50A	𫔊
27	11324	U+9BF5	鯵
28	4171	U+8331	茱
29	35453	U+D101	턁
30	23507	U+A7BC	Ꞽ
31	132262	U+2C6DE	𬛞
32	59172	U+9393	鎓
33	41975	U+1666	ᙦ
34	34604	U+CD84	춄
35	98085	U+120B8	𒂸
36	79057	U+27C58	𧱘
37	103410	U+17567	𗕧
38	83687	U+29723	𩜣
39	81056	U+287DC	𨟜
40	68608	U+23AE8	𣫨
41	55196	U+4721	䜡
42	93939	U+10099	𐂙
43	67397	U+23285	𣊅
44	5680	U+6D36	洶
45	91297	U+31166	𱅦
46	84386	U+29AE8	𩫨
47	7528	U+995E	饞
48	124760	U+296F4	𩛴
49	142838	U+309F2	𰧲
50	65508	U+22537	𢔷
51	98257	U+12164	𒅤
52	115426	U+22A36	𢨶
53	4133	U+81C0	臀
54	98755	U+12356	𒍖
55	91413	U+31259	𱉙
56	113326	U+212CB	𡋋
57	51318	U+3637	㘷
58	60126	U+201EE	𠇮
59	31901	U+C264	쉤
60	115805	U+22D4D	𢵍
61	112030	U+2046C	𠑬
62	4109	U+80E4	胤
63	97685	U+11C81	𑲁
64	87550	U+2B7DD	𫟝
65	147288	U+31F6B	𱽫
66	811	U+5386	历
67	89475	U+2DADC	𭫜
68	27132	U+AEE7	껧
69	124579	U+29360	𩍠
70	23010	U+1DB0	ᶰ
71	107327	U+184B4	𘒴
72	73509	U+25BE0	𥯠
73	123860	U+28A13	𨨓
74	21812	U+26E43	𦹃
75	49666	U+1F482	💂
76	20518	U+9F96	龖
77	100812	U+145F4	𔗴
78	80009	U+281EE	𨇮
79	123831	U+289DA	𨧚
80	83820	U+297D9	𩟙
81	43618	U+274A	❊
82	59667	U+F949	雷
83	73527	U+25BF5	𥯵
84	85558	U+2A1C8	𪇈
85	116117	U+23048	𣁈
86	7815	U+6332	挲
87	328	U+05E1	ס
88	145579	U+3186D	𱡭
89	30534	U+BCDE	볞
90	28990	U+B675	뙵
91	123494	U+28571	𨕱
92	27331	U+AFAE	꾮
93	118699	U+249C6	𤧆
94	33594	U+C978	쥸
95	82562	U+29189	𩆉
96	48938	U+1D5DE	𝗞
97	82331	U+29035	𩀵
98	87374	U+2B6F0	𫛰
99	134968	U+2D5F6	𭗶
100	94671	U+1059A	𐖚
101	61955	U+20DB3	𠶳
102	43072	U+24B9	Ⓓ
103	134856	U+2D575	𭕵
104	146647	U+31CC7	𱳇
105	97485	U+11A45	𑩅
106	42144	U+02FD	˽
107	28062	U+B2A7	늧
108	5157	U+8AD2	諒
109	74676	U+26334	𦌴
110	112445	U+2096D	𠥭
111	130625	U+2BEFF	𫻿
112	13163	U+5A51	婑
113	38422	U+0E94	ດ
