position	value	codepoint	char
0	1	U+0031	1
1	29967	U+897F	西
2	98699	U+3231	㈱
3	12521	U+1B1D1	𛇑
4	135335	U+1449D	𔒝
5	69743	U+C431	쐱
6	4729	U+20092	𠂒
7	89029	U+24FF6	𤿶
8	78369	U+6139	愹
9	143215	U+8F4F	轏
10	62113	U+CA33	쨳
11	31265	U+CD47	쵇
12	22017	U+FEDB	ﻛ
13	42599	U+2F922	牐
14	56572	U+17B00	𗬀
15	36072	U+3F94	㾔
16	124496	U+2F86A	嬾
17	89945	U+811E	脞
18	43795	U+2DD45	𭵅
19	91283	U+21BDA	𡯚
20	78029	U+16BC	ᚼ
21	19669	U+C84B	졋
22	2017	U+1F838	🠸
23	91130	U+86A1	蚡
24	31285	U+D062	큢
25	81374	U+35AD	㖭
26	113058	U+5ED4	廔
27	127189	U+2A697	𪚗
28	57333	U+6591	斑
29	116590	U+255D6	𥗖
30	109640	U+2E8DE	𮣞
31	75363	U+2D293	𭊓
32	74887	U+322E6	𲋦
33	86449	U+22D71	𢵱
34	111022	U+D702	휂
35	27337	U+31CFD	𱳽
36	43268	U+B22E	눮
37	40920	U+2B262	𫉢
38	84030	U+27CC2	𧳂
39	147485	U+101E3	𐇣
40	37267	U+24625	𤘥
41	49768	U+21BD4	𡯔
42	95405	U+222F3	𢋳
43	126302	U+6979	楹
44	138135	U+97C3	韃
45	65202	U+17AF4	𗫴
46	37798	U+B30E	댎
47	22099	U+0FCC	࿌
48	87560	U+32260	𲉠
49	106272	U+2554A	𥕊
50	40578	U+27810	𧠐
51	978	U+1FB26	🬦
52	119978	U+1069C	𐚜
53	16511	U+144F7	𔓷
54	81513	U+6356	捖
55	104933	U+30E69	𰹩
56	64709	U+5310	匐
57	131952	U+2448E	𤒎
58	109140	U+2A03A	𪀺
59	98747	U+44C4	䓄
60	79982	U+21C79	𡱹
61	107334	U+30520	𰔠
62	139738	U+5AEA	嫪
63	58334	U+280A2	𨂢
64	75199	U+25F91	𥾑
65	85445	U+30C3A	𰰺
66	111335	U+2D5E9	𭗩
67	45144	U+A144	ꅄ
68	110992	U+972C	霬
69	57583	U+D5F9	헹
70	42584	U+2DBA8	𭮨
71	72292	U+46ED	䛭
72	113371	U+312BE	𱊾
73	125962	U+17F80	𗾀
74	20585	U+D2A6	튦
75	120051	U+04D2	Ӓ
76	136294	U+4942	䥂
77	59734	U+2D251	𭉑
78	71439	U+180F2	𘃲
79	67114	U+2D058	𭁘
80	100547	U+292CD	𩋍
81	36875	U+112B5	𑊵
82	99538	U+2C2CE	𬋎
83	44965	U+1F444	👄
84	22347	U+BD01	봁
85	37474	U+26B0E	𦬎
86	58903	U+C202	숂
87	4272	U+2016	‖
88	9647	U+D0C7	탇
89	73302	U+27334	𧌴
90	84857	U+2782C	𧠬
91	128359	U+2BC98	𫲘
92	85892	U+25CEC	𥳬
93	106581	U+18408	𘐈
94	1379	U+1BC0B	𛰋
95	30833	U+1342E	𓐮
96	51050	U+25144	𥅄
97	490	U+1F53A	🔺
98	115899	U+28DAB	𨶫
99	145343	U+881F	蠟
100	94212	U+2BBAE	𫮮
101	57887	U+1D18F	𝆏
102	81587	U+7CAA	粪
103	111722	U+18396	𘎖
104	117942	U+843E	萾
105	144626	U+399D	㦝
106	43606	U+13C4	Ꮔ
107	68107	U+4E7E	乾
108	1354	U+23EB	⏫
109	29581	U+2CF9C	𬾜
110	131044	U+4B5A	䭚
111	4438	U+114A2	𑒢
112	64617	U+3181B	𱠛
113	62706	U+20DDB	𠷛
114	12278	U+BC6F	뱯
115	90777	U+121B2	𒆲
116	143786	U+13064	𓁤
117	83861	U+16D5E	𖵞
118	117252	U+2F8AC	憲
119	25237	U+0BED	௭
120	118130	U+25A4F	𥩏
121	74513	U+2912A	𩄪
122	107117	U+2742B	𧐫
123	52742	U+A476	ꑶ
124	88245	U+27389	𧎉
125	23150	U+27FFE	𧿾
126	88223	U+22D46	𢵆
127	26944	U+200D9	𠃙
128	146249	U+1444A	𔑊
129	36292	U+C5C6	없
130	143696	U+34C4	㓄
131	98775	U+55D5	嗕
132	45892	U+5C89	岉
133	34363	U+2C731	𬜱
134	93186	U+26D5	⛕
135	72979	U+29775	𩝵
136	6068	U+25D6	◖
137	54685	U+10B7F	𐭿
138	64542	U+2A38A	𪎊
139	79186	U+2E485	𮒅
140	132952	U+3BCF	㯏
141	15353	U+212C8	𡋈
142	69572	U+6CF6	泶
143	72136	U+27664	𧙤
144	110803	U+48E8	䣨
145	74753	U+3238F	𲎏
146	10678	U+1B1CA	𛇊
147	140328	U+17BDD	𗯝
148	29232	U+2C074	𬁴
149	112817	U+2DCA4	𭲤
150	118718	U+8930	褰
151	49376	U+316F6	𱛶
152	76502	U+27F53	𧽓
153	8997	U+1D54B	𝕋
154	58047	U+2F854	堍
155	47463	U+26A1D	𦨝
156	98084	U+18AAF	𘪯
157	118606	U+6184	憄
158	110356	U+27048	𧁈
159	120661	U+16906	𖤆
160	80074	U+25A2E	𥨮
161	54283	U+4F7C	佼
162	66598	U+181A9	𘆩
163	67764	U+243AA	𤎪
164	102551	U+2885C	𨡜
165	39902	U+2AB10	𪬐
166	116651	U+29B32	𩬲
167	26328	U+25E1	◡
168	56375	U+145C9	𔗉
169	48370	U+27976	𧥶
170	51142	U+290AA	𩂪
171	139954	U+4AF0	䫰
172	107209	U+2B608	𫘈
173	24515	U+C961	쥡
174	19563	U+B859	롙
175	41285	U+286C3	𨛃
176	15831	U+2CCAD	𬲭
177	74003	U+1083C	𐠼
178	47549	U+20309	𠌉
179	68060	U+35A4	㖤
180	82719	U+267C8	𦟈
181	142096	U+9148	酈
182	114883	U+28AFE	𨫾
183	52060	U+23209	𣈉
184	90112	U+204B1	𠒱
185	23106	U+24204	𤈄
186	104239	U+258AF	𥢯
187	102918	U+180B2	𘂲
188	33415	U+18CB4	𘲴
189	70875	U+2EDEE	𮷮
190	60204	U+70C7	烇
191	135110	U+2A4C7	𪓇
192	29817	U+345F	㑟
193	65598	U+2C54E	𬕎
194	96796	U+2B96D	𫥭
195	66547	U+24505	𤔅
196	141892	U+97FD	韽
197	90336	U+24E8D	𤺍
198	74760	U+20768	𠝨
199	134882	U+2718D	𧆍
200	58301	U+26DE5	𦷥
201	124353	U+895D	襝
202	121741	U+23A74	𣩴
203	63871	U+10008	𐀈
204	119260	U+2482E	𤠮
205	71549	U+224AE	𢒮
206	25966	U+2227D	𢉽
207	141078	U+6AD2	櫒
208	44403	U+461A	䘚
209	476	U+FE41	﹁
210	129089	U+2EBDB	𮯛
211	57815	U+AB4F	ꭏ
212	113421	U+174E6	𗓦
213	20891	U+266D3	𦛓
214	77268	U+26744	𦝄
215	84576	U+23E1D	𣸝
216	908	U+1F1FA	🇺
217	56592	U+3010B	𰄋
218	117320	U+27545	𧕅
219	17243	U+24926	𤤦
220	64565	U+2CA05	𬨅
221	20945	U+2E0B0	𮂰
222	92411	U+2E97E	𮥾
223	54228	U+31AC8	𱫈
224	70033	U+21E0	⇠
225	72887	U+269A3	𦦣
226	111846	U+260CE	𦃎
227	3277	U+FE10	︐
228	92268	U+28549	𨕉
229	108200	U+2D4A5	𭒥
230	127445	U+171B3	𗆳
231	45852	U+521D	初
232	56504	U+2CE03	𬸃
233	64567	U+2CB53	𬭓
234	18431	U+21A0B	𡨋
235	143321	U+28DB	⣛
236	101427	U+26F65	𦽥
237	47947	U+0E33	ำ
238	56281	U+2CE97	𬺗
239	1939	U+1B012	𛀒
240	34265	U+2577C	𥝼
241	114392	U+101F7	𐇷
242	76632	U+2DE73	𭹳
243	89994	U+8E0F	踏
244	19088	U+A9CC	꧌
245	42998	U+2EF0	⻰
246	46941	U+234DB	𣓛
247	77255	U+24A20	𤨠
248	8279	U+BA88	몈
249	8578	U+12005	𒀅
250	38673	U+2C125	𬄥
251	73503	U+223F	∿
252	12862	U+C2D8	싘
253	76857	U+2D8FF	𭣿
254	113723	U+274EC	𧓬
255	78484	U+86F3	蛳
256	118370	U+A685	ꚅ
257	118884	U+10871	𐡱
258	14273	U+22A65	𢩥
259	61505	U+21FA3	𡾣
260	138811	U+06F5	۵
261	70776	U+217E7	𡟧
262	61533	U+2300C	𣀌
263	13338	U+33E3	㏣
264	110002	U+978C	鞌
265	101915	U+18544	𘕄
266	138837	U+1877C	𘝼
267	73818	U+94F2	铲
268	11939	U+2D03D	𭀽
269	96422	U+2898E	𨦎
270	137429	U+7028	瀨
271	62441	U+3017B	𰅻
272	3797	U+107B2	𐞲
273	57993	U+287FF	𨟿
274	139200	U+3E8F	㺏
275	65636	U+2D856	𭡖
276	33506	U+2AF38	𪼸
277	9283	U+25143	𥅃
278	96061	U+11D58	𑵘
279	22355	U+BE2B	븫
280	39536	U+20741	𠝁
281	1319	U+2556	╖
282	124266	U+58E2	壢
283	130217	U+2707E	𧁾
284	88647	U+8A9B	誛
285	48209	U+1D6DC	𝛜
286	146175	U+29C71	𩱱
287	2735	U+1F880	🢀
288	105776	U+84E6	蓦
289	144718	U+77F2	矲
290	141493	U+9466	鑦
291	144738	U+16816	𖠖
292	23638	U+C379	썹
293	4451	U+18C02	𘰂
294	7417	U+B461	둡
295	137430	U+705D	灝
296	124532	U+22308	𢌈
297	88983	U+23724	𣜤
298	19501	U+ADAB	궫
299	54982	U+2C788	𬞈
300	17043	U+B9E7	맧
301	110566	U+2C127	𬄧
302	28822	U+2D71D	𭜝
303	90157	U+28D57	𨵗
304	131676	U+1D94	ᶔ
305	53405	U+234B5	𣒵
306	29781	U+31385	𱎅
307	28251	U+01E2	Ǣ
308	1857	U+1CE05	𜸅
309	87487	U+17831	𗠱
310	95042	U+7A23	稣
311	124249	U+4C03	䰃
312	96168	U+5E55	幕
313	18100	U+2057A	𠕺
314	59152	U+290CB	𩃋
315	139215	U+4CE4	䳤
316	81935	U+31088	𱂈
317	9175	U+CEAD	캭
318	108918	U+749E	璞
319	78083	U+26761	𦝡
320	143502	U+9A1A	騚
321	129642	U+25E03	𥸃
322	25471	U+B1F4	뇴
323	35119	U+C6EC	웬
324	139167	U+A3D0	ꏐ
325	84326	U+776B	睫
326	29371	U+2E4F7	𮓷
327	31676	U+31C59	𱱙
328	76974	U+46B9	䚹
329	120420	U+6365	捥
330	69556	U+63E3	揣
331	50188	U+33AA	㎪
332	134691	U+4B81	䮁
333	74310	U+2366D	𣙭
334	55587	U+2364C	𣙌
335	94038	U+17926	𗤦
336	27138	U+A060	ꁠ
337	22232	U+6CEA	泪
338	63724	U+2CC55	𬱕
339	138733	U+9EFA	黺
340	59289	U+208E3	𠣣
341	114729	U+31B1E	𱬞
342	97284	U+24CF0	𤳰
343	134795	U+F969	數
344	9086	U+8289	芉
345	110752	U+34A6	㒦
346	62270	U+2E154	𮅔
347	123735	U+17720	𗜠
348	104410	U+2E2CF	𮋏
349	100511	U+2744E	𧑎
350	29896	U+5BCC	富
351	135641	U+589C	墜
352	75175	U+252CF	𥋏
353	94522	U+2C121	𬄡
354	111611	U+2C13A	𬄺
355	621	U+1FB47	🭇
356	136751	U+44FC	䓼
357	41078	U+30E73	𰹳
358	138687	U+8585	薅
359	52254	U+21A6C	𡩬
360	56117	U+C51E	씞
361	18040	U+1B023	𛀣
362	135232	U+93B5	鎵
363	54467	U+8D8C	趌
364	59110	U+20EA0	𠺠
365	143738	U+9D75	鵵
366	83626	U+2AA04	𪨄
367	147371	U+10414	𐐔
368	21989	U+30E70	𰹰
369	40533	U+212BB	𡊻
370	93314	U+207AC	𠞬
371	49591	U+32346	𲍆
372	47624	U+22B2E	𢬮
373	23251	U+20026	𠀦
374	24191	U+2E93C	𮤼
375	88071	U+28AF0	𨫰
376	17218	U+308C1	𰣁
377	52752	U+171C7	𗇇
378	111146	U+A5C9	ꗉ
379	123762	U+17FDC	𗿜
380	140907	U+8C45	豅
381	3454	U+131FC	𓇼
382	65804	U+2E6F7	𮛷
383	30152	U+CBBF	쮿
384	58015	U+2C28A	𬊊
385	8369	U+16873	𖡳
386	101359	U+23A6A	𣩪
387	30924	U+24774	𤝴
388	100105	U+180FD	𘃽
389	14148	U+BAB1	몱
390	39750	U+28EEF	𨻯
391	18962	U+104C8	𐓈
392	111188	U+22DD8	𢷘
393	114661	U+29DB6	𩶶
394	133544	U+79B5	禵
395	48874	U+CAF8	쫸
396	45393	U+27D2C	𧴬
397	81656	U+8F7C	轼
398	147872	U+1F3D4	🏔
399	104882	U+1748D	𗒍
400	12814	U+B39D	뎝
401	42974	U+2D919	𭤙
402	52095	U+2A9D2	𪧒
403	73603	U+3B86	㮆
404	8084	U+16E97	𖺗
405	97731	U+837D	荽
406	50381	U+B9B2	릲
407	52627	U+2A7B3	𪞳
408	126876	U+2E8D0	𮣐
409	37624	U+5527	唧
410	89382	U+024F	ɏ
411	101282	U+11C6A	𑱪
412	94939	U+57ED	埭
413	100345	U+A35A	ꍚ
414	123426	U+3F15	㼕
415	81113	U+292BE	𩊾
416	22932	U+2967	⥧
417	142457	U+63D4	揔
418	44361	U+120FE	𒃾
419	135478	U+17CA7	𗲧
420	122134	U+29B80	𩮀
421	67618	U+30941	𰥁
422	63591	U+D6B2	횲
423	139018	U+130AF	𓂯
424	23221	U+1086E	𐡮
425	8171	U+4E17	丗
426	126162	U+2DCFB	𭳻
427	105038	U+29DB8	𩶸
428	124897	U+49E8	䧨
