position	value	codepoint	char
0	3	U+0033	3
1	21565	U+26ED1	𦻑
2	105683	U+16B15	𖬕
3	140883	U+2DEED	𭻭
4	118744	U+2224A	𢉊
5	124700	U+2602B	𦀫
6	49321	U+1D765	𝝥
7	140119	U+2DB65	𭭥
8	4115	U+5EC8	廈
9	37679	U+FB47	קּ
10	133001	U+2B659	𫙙
11	75396	U+26766	𦝦
12	105223	U+16925	𖤥
13	19950	U+9878	顸
14	68064	U+237FB	𣟻
15	148237	U+31220	𱈠
16	133153	U+2B848	𫡈
17	39125	U+0F02	༂
18	117981	U+2196E	𡥮
19	133270	U+2B8D6	𫣖
20	24673	U+1EE86	𞺆
21	9252	U+6D99	涙
22	62330	U+210EA	𡃪
23	124338	U+25C0F	𥰏
24	66426	U+22B83	𢮃
25	151030	U+31E65	𱹥
26	148716	U+314C6	𱓆
27	136952	U+2CACF	𬫏
28	6485	U+9B9F	鮟
29	28345	U+B489	뒉
30	73067	U+25917	𥤗
31	31456	U+C112	섒
32	16260	U+90FA	郺
33	130357	U+2A966	𪥦
34	17100	U+9DA6	鶦
35	93617	U+A88E	ꢎ
36	56853	U+5079	偹
37	140175	U+2DBA7	𭮧
38	34373	U+CCE7	쳧
39	139849	U+2DA1E	𭨞
40	106191	U+170A9	𗂩
41	11422	U+54A1	咡
42	31664	U+C1EF	쇯
43	25361	U+1B082	𛂂
44	35375	U+D0F0	탰
45	81759	U+28D0C	𨴌
46	67241	U+23147	𣅇
47	48824	U+1D56C	𝕬
48	138427	U+2D369	𭍩
49	142687	U+2E796	𮞖
50	43227	U+255A	╚
51	119999	U+22ED6	𢻖
52	12359	U+9B37	鬷
53	62046	U+20E54	𠹔
54	106838	U+17330	𗌰
55	109005	U+17BA7	𗮧
56	79165	U+27CDC	𧳜
57	136471	U+2C804	𬠄
58	54943	U+4618	䘘
59	44852	U+32BE	㊾
60	127366	U+283CC	𨏌
61	47254	U+1F11F	🄟
62	129470	U+2A0AF	𪂯
63	145455	U+303DB	𰏛
64	132214	U+2B1C9	𫇉
65	7698	U+729B	犛
66	84257	U+29A37	𩨷
67	37429	U+1FC0	῀
68	108464	U+1798A	𗦊
69	87464	U+2B779	𫝹
70	128313	U+28EE9	𨻩
71	61465	U+20A71	𠩱
72	93213	U+1BCE	ᯎ
73	7725	U+7432	琲
74	63168	U+2169B	𡚛
75	43534	U+26DB	⛛
76	120875	U+236E6	𣛦
77	19116	U+7907	礇
78	28023	U+B33C	댼
79	26847	U+AE8E	꺎
80	23326	U+AB47	ꭇ
81	58380	U+7A82	窂
82	51108	U+353D	㔽
83	31619	U+C1C2	쇂
84	8948	U+6363	捣
85	15601	U+872A	蜪
86	102942	U+13EA6	𓺦
87	34016	U+CB7C	쭼
88	141036	U+2DFAB	𭾫
89	34610	U+CDDB	췛
90	41408	U+1439	ᐹ
91	5478	U+831C	茜
92	60499	U+204D9	𠓙
93	42993	U+246F	⑯
94	137847	U+2D0B5	𭂵
